lambda nm,X,Y,Z
441.6,3.49E-01,5.28E-02,1.93E+00
441.7,3.49E-01,5.29E-02,1.93E+00
441.8,3.49E-01,5.30E-02,1.93E+00
441.9,3.49E-01,5.32E-02,1.93E+00
442,3.49E-01,5.33E-02,1.93E+00
442.1,3.49E-01,5.35E-02,1.93E+00
442.2,3.49E-01,5.36E-02,1.93E+00
442.3,3.48E-01,5.37E-02,1.93E+00
442.4,3.48E-01,5.39E-02,1.93E+00
442.5,3.48E-01,5.40E-02,1.93E+00
442.6,3.48E-01,5.42E-02,1.93E+00
442.7,3.48E-01,5.43E-02,1.93E+00
442.8,3.48E-01,5.44E-02,1.93E+00
442.9,3.47E-01,5.46E-02,1.93E+00
443,3.47E-01,5.47E-02,1.93E+00
443.1,3.47E-01,5.48E-02,1.93E+00
443.2,3.47E-01,5.50E-02,1.93E+00
443.3,3.46E-01,5.51E-02,1.93E+00
443.4,3.46E-01,5.53E-02,1.93E+00
443.5,3.46E-01,5.54E-02,1.93E+00
443.6,3.46E-01,5.55E-02,1.93E+00
443.7,3.45E-01,5.57E-02,1.93E+00
443.8,3.45E-01,5.58E-02,1.93E+00
443.9,3.45E-01,5.59E-02,1.93E+00
444,3.45E-01,5.61E-02,1.93E+00
444.1,3.44E-01,5.62E-02,1.93E+00
444.2,3.44E-01,5.63E-02,1.92E+00
444.3,3.44E-01,5.65E-02,1.92E+00
444.4,3.44E-01,5.66E-02,1.92E+00
444.5,3.43E-01,5.67E-02,1.92E+00
444.6,3.43E-01,5.69E-02,1.92E+00
444.7,3.43E-01,5.70E-02,1.92E+00
444.8,3.42E-01,5.72E-02,1.92E+00
444.9,3.42E-01,5.73E-02,1.92E+00
445,3.42E-01,5.74E-02,1.92E+00
445.1,3.42E-01,5.76E-02,1.92E+00
445.2,3.41E-01,5.77E-02,1.92E+00
445.3,3.41E-01,5.79E-02,1.92E+00
445.4,3.41E-01,5.80E-02,1.92E+00
445.5,3.40E-01,5.81E-02,1.91E+00
445.6,3.40E-01,5.83E-02,1.91E+00
445.7,3.40E-01,5.84E-02,1.91E+00
445.8,3.40E-01,5.86E-02,1.91E+00
445.9,3.39E-01,5.87E-02,1.91E+00
