lambda nm,L,M
452.3,5.22E-02,9.19E-02
452.4,5.23E-02,9.21E-02
452.5,5.24E-02,9.23E-02
452.6,5.25E-02,9.25E-02
452.7,5.26E-02,9.27E-02
452.8,5.27E-02,9.30E-02
452.9,5.28E-02,9.32E-02
453,5.29E-02,9.34E-02
453.1,5.30E-02,9.36E-02
453.2,5.32E-02,9.38E-02
453.3,5.33E-02,9.41E-02
453.4,5.34E-02,9.43E-02
453.5,5.35E-02,9.45E-02
453.6,5.36E-02,9.47E-02
453.7,5.37E-02,9.50E-02
453.8,5.38E-02,9.52E-02
453.9,5.40E-02,9.54E-02
454,5.41E-02,9.57E-02
454.1,5.42E-02,9.59E-02
454.2,5.43E-02,9.62E-02
454.3,5.44E-02,9.64E-02
454.4,5.46E-02,9.67E-02
454.5,5.47E-02,9.69E-02
454.6,5.48E-02,9.72E-02
454.7,5.49E-02,9.74E-02
454.8,5.51E-02,9.77E-02
454.9,5.52E-02,9.79E-02
455,5.53E-02,9.82E-02
455.1,5.55E-02,9.85E-02
455.2,5.56E-02,9.87E-02
455.3,5.58E-02,9.90E-02
455.4,5.59E-02,9.93E-02
455.5,5.60E-02,9.96E-02
455.6,5.62E-02,9.99E-02
455.7,5.63E-02,1.00E-01
455.8,5.65E-02,1.00E-01
455.9,5.66E-02,1.01E-01
456,5.68E-02,1.01E-01
456.1,5.69E-02,1.01E-01
456.2,5.71E-02,1.02E-01
456.3,5.72E-02,1.02E-01
456.4,5.74E-02,1.02E-01
456.5,5.76E-02,1.03E-01
456.6,5.77E-02,1.03E-01
456.7,5.79E-02,1.03E-01
456.8,5.81E-02,1.04E-01
456.9,5.82E-02,1.04E-01
457,5.84E-02,1.04E-01
457.1,5.86E-02,1.05E-01
457.2,5.87E-02,1.05E-01
457.3,5.89E-02,1.05E-01
457.4,5.91E-02,1.06E-01
457.5,5.93E-02,1.06E-01
457.6,5.95E-02,1.06E-01
457.7,5.97E-02,1.07E-01
457.8,5.99E-02,1.07E-01
457.9,6.00E-02,1.07E-01
458,6.02E-02,1.08E-01
458.1,6.04E-02,1.08E-01
458.2,6.06E-02,1.09E-01
458.3,6.08E-02,1.09E-01
458.4,6.10E-02,1.09E-01
458.5,6.13E-02,1.10E-01
458.6,6.15E-02,1.10E-01
458.7,6.17E-02,1.11E-01
458.8,6.19E-02,1.11E-01
458.9,6.21E-02,1.11E-01
459,6.23E-02,1.12E-01
459.1,6.26E-02,1.12E-01
459.2,6.28E-02,1.13E-01
459.3,6.30E-02,1.13E-01
459.4,6.33E-02,1.14E-01
459.5,6.35E-02,1.14E-01
459.6,6.37E-02,1.14E-01
459.7,6.40E-02,1.15E-01
459.8,6.42E-02,1.15E-01
459.9,6.45E-02,1.16E-01
460,6.47E-02,1.16E-01
460.1,6.50E-02,1.17E-01
460.2,6.52E-02,1.17E-01
460.3,6.55E-02,1.18E-01
